Opening,Colour,Num Games,ECO,Last Played,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Moves
"Grob Opening, General",,392,A00,2018-06-30,1979,2004,34.70%,18.60%,46.70%,1.g4
"Grob Opening, Grob Gambit, Declined",,112,A00,2018-03-11,2082,2123,46.40%,23.20%,30.40%,1.g4 d5 2.Bg2 c6
"Grob Opening, Grob Gambit, Fritz Gambit",,159,A00,2018-06-23,1919,1917,45.30%,13.80%,40.90%,1.g4 d5 2.Bg2 Bxg4 3.c4
"Grob Opening, Keene Defense",,134,A00,2018-06-22,2205,2176,53.00%,19.40%,27.60%,1.g4 d5 2.h3 e5 3.Bg2 c6
"Gruenfeld Defense, Botvinnik Variation",,364,D95,2018-05-26,2405,2392,36.30%,40.10%,23.60%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Qb3 e6
"Gruenfeld Defense, Brinckmann Attack",,1813,D82,2018-06-29,2368,2331,34.60%,40.00%,25.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4
"Gruenfeld Defense, Brinckmann Attack, Grünfeld Gambit",,217,D83,2018-06-21,2286,2350,26.70%,33.20%,40.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O
"Gruenfeld Defense, Brinckmann Attack, Grünfeld Gambit, Accepted",,378,D84,2018-06-01,2388,2346,31.50%,43.40%,25.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.cxd5 Nxd5 7.Nxd5 Qxd5 8.Bxc7
"Gruenfeld Defense, Brinckmann Attack, Grünfeld Gambit, Botvinnik Variation",,166,D83,2018-05-06,2377,2406,24.70%,42.20%,33.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1 c5 7.dxc5 Be6
"Gruenfeld Defense, Brinckmann Attack, Grünfeld Gambit, Capablanca Variation",,573,D83,2018-06-17,2404,2398,34.00%,38.60%,27.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1
"Gruenfeld Defense, Brinckmann Attack, Reshevsky Gambit",,124,D83,2018-05-20,2279,2273,29.00%,29.00%,41.90%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1 c5 7.dxc5 Qa5
"Gruenfeld Defense, Exchange Variation",,8830,D85,2018-07-09,2290,2314,27.20%,36.60%,36.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5
"Gruenfeld Defense, Exchange Variation, Classical Variation",,2615,D86,2018-07-09,2319,2296,31.10%,36.30%,32.50%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4
"Gruenfeld Defense, Exchange Variation, Modern Exchange Variation",,7875,D85,2018-07-03,2352,2311,34.70%,38.50%,26.80%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3
"Gruenfeld Defense, Exchange Variation, Modern Exchange Variation, Kramnik's line",,191,D85,2018-07-06,2430,2373,39.80%,34.50%,25.60%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3 c5 8.h3
"Gruenfeld Defense, Exchange Variation, Modern Exchange Variation, Pawn Grab line",,244,D85,2018-07-03,2208,2271,21.30%,27.90%,50.80%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3 c5 8.Rb1 O-O 9.Be2 Nc6 10.d5 Bxc3+
"Gruenfeld Defense, Exchange Variation, Nadanian Attack",,334,D85,2018-06-24,2311,2272,38.00%,33.50%,28.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.Na4
"Gruenfeld Defense, Exchange Variation, Seville Variation",,250,D87,2017-08-17,2366,2326,28.80%,44.00%,27.20%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 Bg4 11.f3 Na5 12.Bxf7+
"Gruenfeld Defense, Exchange Variation, Simagin's Improved Variation",,517,D86,2018-03-19,2342,2383,31.30%,32.70%,36.00%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 Nc6
"Gruenfeld Defense, Exchange Variation, Sokolsky Variation",,409,D89,2018-03-21,2321,2315,38.90%,31.50%,29.60%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4 Bg4 12.f3 Na5 13.Bd3 Be6 14.d5
"Gruenfeld Defense, Exchange Variation, Spassky Variation",,766,D88,2018-06-15,2208,2182,40.00%,34.20%,25.90%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4
"Gruenfeld Defense, Exchange Variation, Spassky Variation",,2135,D87,2018-07-08,2235,2274,30.50%,31.10%,38.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5
"Gruenfeld Defense, Exchange Variation, Spassky Variation",,442,D89,2018-06-07,2274,2292,28.50%,37.10%,34.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4 Bg4 12.f3 Na5 13.Bd3 Be6
"Gruenfeld Defense, Flohr Defense",,119,D94,2018-03-11,2304,2346,18.50%,44.50%,37.00%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3 c6 7.O-O Bf5
"Gruenfeld Defense, Flohr Variation",,449,D90,2018-05-11,2438,2411,41.60%,34.70%,23.60%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qa4+
"Gruenfeld Defense, General",,4134,D80,2018-07-05,2284,2303,29.30%,33.70%,36.90%,1.d4 Nf6 2.c4 g6 3.Nc3 d5
"Gruenfeld Defense, Lutikov Variation",,119,D70,2017-08-05,2225,2197,42.90%,20.20%,37.00%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.f3
"Gruenfeld Defense, Makogonov Variation",,531,D94,2018-05-18,2381,2362,36.00%,38.80%,25.20%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.b4
"Gruenfeld Defense, Opocensky Variation",,499,D94,2018-06-30,2380,2377,27.70%,45.10%,27.30%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd2
"Gruenfeld Defense, Russian Variation",,829,D96,2018-06-24,2349,2298,45.80%,28.70%,25.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3
"Gruenfeld Defense, Russian Variation, Accelerated Variation",,478,D81,2018-06-22,2441,2405,41.60%,34.10%,24.30%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Qb3
"Gruenfeld Defense, Russian Variation, Byrne (Simagin) Variation",,604,D97,2018-07-03,2354,2368,27.50%,36.80%,35.80%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Nc6
"Gruenfeld Defense, Russian Variation, Hungarian Variation",,1183,D97,2018-07-06,2382,2406,27.10%,36.70%,36.30%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 a6
"Gruenfeld Defense, Russian Variation, Prins Variation",,861,D97,2018-06-03,2375,2397,30.00%,34.50%,35.50%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Na6
"Gruenfeld Defense, Russian Variation, Smyslov Variation",,459,D98,2018-06-28,2364,2397,27.70%,38.60%,33.80%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Bg4
"Gruenfeld Defense, Russian Variation, Smyslov Variation",,176,D99,2016-12-12,2532,2440,43.20%,35.80%,21.00%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Bg4 8.Be3 Nfd7 9.Qb3
"Gruenfeld Defense, Russian Variation, Szabo (Boleslavsky)",,408,D97,2018-06-26,2217,2279,20.80%,33.10%,46.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 c6
"Gruenfeld Defense, Russian Variation, With e4",,254,D97,2018-05-26,2408,2331,43.70%,28.70%,27.60%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4
"Gruenfeld Defense, Smyslov Defense",,762,D94,2018-06-25,2307,2349,15.20%,49.20%,35.60%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3 c6 7.O-O Bg4
"Gruenfeld Defense, Three Knights Variation",,2253,D90,2018-07-03,2274,2290,31.30%,33.80%,34.90%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7
"Gruenfeld Defense, Three Knights Variation, Burille Variation",,2084,D94,2018-07-01,2167,2156,30.10%,31.90%,38.00%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3
"Gruenfeld Defense, Three Knights Variation, Burille Variation, Reversed Tarrasch",,1167,D94,2018-06-27,2321,2309,42.90%,35.50%,21.60%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 c5 6.Be2 cxd4 7.exd4 Nc6 8.O-O O-O
"Gruenfeld Defense, Three Knights Variation, Hungarian Attack",,1783,D92,2018-07-08,2324,2296,36.80%,36.00%,27.30%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bf4
"Gruenfeld Defense, Three Knights Variation, Hungarian Variation",,1864,D93,2018-07-01,2267,2226,33.10%,35.10%,31.70%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bf4 O-O 6.e3
"Gruenfeld Defense, Three Knights Variation, Paris Variation",,431,D94,2018-06-21,1942,1943,23.90%,23.90%,52.20%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3
"Gruenfeld Defense, Three Knights Variation, Petrosian System",,4889,D91,2018-07-05,2307,2290,33.40%,36.10%,30.50%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bg5
"Gruenfeld Defense, Three Knights Variation, Vienna Variation",,386,D95,2018-06-23,2331,2256,45.30%,35.20%,19.40%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Qb3
"Gruenfeld Defense, Zaitsev Gambit",,160,D80,2018-04-02,2264,2240,42.50%,29.40%,28.10%,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.h4
"Gunderam Defense, General",,613,C40,2018-06-26,2084,2171,31.80%,21.90%,46.30%,1.e4 e5 2.Nf3 Qe7
"Horwitz Defense, General",,10256,A40,2018-07-07,2158,2195,32.10%,29.20%,38.70%,1.d4 e6
"Hungarian Opening, Catalan Formation",,170,A00,2018-03-18,2059,2108,21.80%,24.10%,54.10%,1.g3 d5 2.Bg2 e6
"Hungarian Opening, Dutch Defense",,528,A00,2018-06-22,2211,2241,26.50%,29.40%,44.10%,1.g3 f5
"Hungarian Opening, General",,7551,A00,2018-07-09,2285,2273,38.80%,30.20%,31.00%,1.g3
"Hungarian Opening, Indian Defense",,3998,A00,2018-07-06,2219,2230,24.40%,31.50%,44.10%,1.g3 Nf6
"Hungarian Opening, Reversed Modern Defense",,199,A00,2018-06-21,2191,2191,35.70%,26.60%,37.70%,1.g3 d5 2.Bg2 c5
"Hungarian Opening, Sicilian Invitation",,1533,A00,2018-06-27,2287,2295,29.40%,32.20%,38.50%,1.g3 c5
"Hungarian Opening, Slav Formation",,1500,A00,2018-07-04,2309,2327,30.00%,34.80%,35.20%,1.g3 d5 2.Bg2 c6
"Hungarian Opening, Symmetrical Variation",,3298,A00,2018-07-05,2276,2298,26.00%,33.60%,40.40%,1.g3 g6
"Indian Game Defense, Pseudo-Queen's Indian, Marienbad System",,492,A47,2018-06-02,2370,2387,38.80%,38.20%,23.00%,1.d4 Nf6 2.Nf3 b6 3.g3 Bb7 4.Bg2 c5
"Indian Game, Anti-Grünfeld, Advance Variation",,202,E60,2018-01-30,2297,2264,38.60%,25.70%,35.60%,1.d4 Nf6 2.c4 g6 3.d5
"Indian Game, Anti-Grünfeld, Alekhine Variation",,1008,D70,2018-07-07,2391,2367,38.70%,28.80%,32.50%,1.d4 Nf6 2.c4 g6 3.f3
"Indian Game, Anti-Nimzo-indian",,11232,E10,2018-07-09,2349,2307,35.90%,34.70%,29.40%,1.d4 Nf6 2.c4 e6 3.Nf3
"Indian Game, Budapest Defense",,995,A51,2018-07-08,1975,1954,47.10%,19.60%,33.30%,1.d4 Nf6 2.c4 e5
"Indian Game, Colle System, King's Indian Variation",,315,A48,2018-06-01,2008,1989,53.30%,23.80%,22.90%,1.d4 Nf6 2.Nf3 g6 3.e3 Bg7 4.Bd3 d6
"Indian Game, Czech-Indian",,300,A46,2018-07-04,2133,2156,32.30%,26.70%,41.00%,1.d4 Nf6 2.Nf3 c6
"Indian Game, Dzindzi-Indian Defense",,443,E10,2018-06-30,2361,2402,30.00%,37.70%,32.30%,1.d4 Nf6 2.c4 e6 3.Nf3 a6
"Indian Game, General",,16580,A45,2018-07-09,2151,2160,41.40%,25.60%,33.10%,1.d4 Nf6
"Indian Game, Kingside Fianchetto",,6187,E61,2018-07-07,2180,2198,34.50%,28.40%,37.10%,1.d4 Nf6 2.c4 g6
"Indian Game, Knights Variation, General",,8182,A46,2018-07-07,2285,2260,32.50%,36.20%,31.30%,1.d4 Nf6 2.Nf3
"Indian Game, London System",,6679,A46,2018-07-08,2169,2134,33.30%,31.60%,35.10%,1.d4 Nf6 2.Nf3 e6 3.Bf4
"Indian Game, London System",,9667,A48,2018-07-08,2170,2145,32.80%,30.10%,37.10%,1.d4 Nf6 2.Nf3 g6 3.Bf4
"Indian Game, Normal Variation",,328,A50,2018-03-11,2376,2327,42.40%,25.30%,32.30%,1.d4 Nf6 2.c4
"Indian Game, Polish Variation",,726,A46,2018-07-03,2227,2284,32.80%,28.20%,39.00%,1.d4 Nf6 2.Nf3 b5
"Indian Game, Przepiorka Variation",,7822,A49,2018-07-09,2280,2261,32.90%,35.70%,31.40%,1.d4 Nf6 2.Nf3 g6 3.g3
"Indian Game, Pseudo-Benko",,1905,A46,2018-07-07,2265,2314,28.20%,25.60%,46.30%,1.d4 Nf6 2.Nf3 c5 3.d5 b5
"Indian Game, Pseudo-King's Indian Variation",,8348,A49,2018-07-09,2207,2217,35.70%,32.00%,32.30%,1.d4 Nf6 2.Nf3 g6
"Indian Game, Pseudo-Queen's Indian",,2728,A47,2018-07-07,2234,2271,34.40%,30.70%,34.90%,1.d4 Nf6 2.Nf3 b6
"Indian Game, Queen's Pawn Opening",,3107,E00,2018-06-30,2042,2081,35.50%,20.50%,44.00%,1.d4 Nf6 2.c4 e6
"Indian Game, Reversed Chigorin Defense",,660,A45,2018-07-09,2200,2217,37.60%,23.80%,38.60%,1.d4 Nf6 2.Nc3 c5
"Indian Game, Saemisch-Indian",,1424,A50,2018-07-07,2272,2329,35.00%,27.40%,37.60%,1.d4 Nf6 2.c4 b6
"Indian Game, Seirawan Attack",,542,E00,2018-06-07,2083,2062,31.90%,22.30%,45.80%,1.d4 Nf6 2.c4 e6 3.Bg5
"Indian Game, Spielmann-Indian",,7015,A46,2018-07-08,2223,2236,41.70%,30.70%,27.60%,1.d4 Nf6 2.Nf3 c5
"Indian Game, Tartakower Attack",,3581,A45,2018-07-01,2251,2234,37.60%,31.30%,31.20%,1.d4 Nf6 2.g3
"Indian Game, Wade-Tarkatower Defense",,6327,A46,2018-07-09,2210,2240,32.90%,30.20%,37.00%,1.d4 Nf6 2.Nf3 d6
"Indian Game, Yusupov-Rubinstein System",,8251,A46,2018-07-09,2266,2243,33.00%,33.10%,33.90%,1.d4 Nf6 2.Nf3 e6 3.e3
"Italian Game, Anti-Fried Liver Defense",,606,C55,2018-06-29,1583,1636,20.00%,14.20%,65.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 h6
"Italian Game, Bird's Attack",,555,C53,2018-06-26,2262,2258,40.90%,23.10%,36.00%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.b4
"Italian Game, Classical Variation",,107,C53,2018-05-01,2049,2064,38.30%,19.60%,42.10%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6
"Italian Game, Classical Variation, Albin Gambit",,366,C53,2018-06-24,2008,2009,43.20%,21.30%,35.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.O-O
"Italian Game, Classical Variation, Center Atttack",,263,C53,2018-06-30,1935,1852,71.50%,12.60%,16.00%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4
"Italian Game, Classical Variation, Center Holding Variation",,240,C53,2018-06-29,2216,2291,30.40%,24.20%,45.40%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Qe7 5.d4 Bb6
"Italian Game, Classical Variation, Closed Variation",,539,C53,2018-06-07,2128,2143,37.50%,19.30%,43.20%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Qe7
"Italian Game, Classical Variation, De la Bourdonnais Variation",,241,C53,2018-06-18,2059,2093,33.20%,22.00%,44.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 d6 5.d4 exd4 6.cxd4 Bb6
"Italian Game, Classical Variation, General",,919,C53,2018-06-30,1976,1936,55.70%,19.00%,25.20%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3
"Italian Game, Classical Variation, Giuoco Pianissimo",,11243,C53,2018-07-09,2248,2217,39.00%,32.60%,28.40%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d3
"Italian Game, Classical Variation, Giuoco Pianissimo, Main line",,560,C53,2018-06-26,2459,2412,36.30%,41.10%,22.70%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d3 a6 6.Bb3 Ba7 7.h3 O-O 8.O-O d6 9.Re1
"Italian Game, Classical Variation, Greco Gambit",,856,C53,2018-07-09,2206,2217,38.50%,27.80%,33.60%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.e5 d5
"Italian Game, Classical Variation, Greco Gambit, Anderssen Variation",,359,C54,2018-07-09,1990,2064,29.00%,23.40%,47.60%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.e5 d5 7.Bb5 Ne4 8.cxd4 Bb4+
"Italian Game, Classical Variation, Greco Gambit, Greco Variation",,105,C54,2018-07-01,1863,1865,29.50%,18.10%,52.40%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Nc3 Nxe4 8.O-O Nxc3
"Italian Game, Classical Variation, Greco Gambit, Main Line",,138,C54,2018-05-17,1928,1918,51.50%,21.70%,26.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Nc3 Nxe4 8.O-O Bxc3
"Italian Game, Classical Variation, Greco Gambit, Mason Gambit",,235,C54,2010-04-10,2249,2243,36.60%,25.50%,37.90%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.O-O
"Italian Game, Classical Variation, Greco Gambit, Moeller-Therkatz Attack",,656,C54,2018-06-17,2035,2031,31.60%,22.60%,45.90%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Nc3 Nxe4 8.O-O Bxc3 9.d5
"Italian Game, Classical Variation, Greco Gambit, Traditional Line",,2103,C54,2018-07-01,2070,2025,32.80%,31.80%,35.40%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4
"Italian Game, Deutz Gambit",,716,C55,2018-07-05,2101,2069,43.90%,23.00%,33.10%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.O-O Nf6 5.d4
"Italian Game, Evans Gambit, Anderssen Variation",,302,C51,2018-07-01,2004,2018,31.50%,19.50%,49.00%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Be7
"Italian Game, Evans Gambit, Anderssen Variation, Cordel Line",,482,C51,2018-06-14,2271,2281,38.60%,26.40%,35.10%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Be7 6.d4 Na5
"Italian Game, Evans Gambit, Declined",,443,C51,2018-06-28,2312,2313,41.30%,23.90%,34.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bb6
"Italian Game, Evans Gambit, MacDonnell Defense",,172,C51,2018-07-02,1769,1782,19.80%,10.50%,69.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Bc5
"Italian Game, Evans Gambit, MacDonnell Defense, Main Line",,137,C51,2018-06-09,2274,2378,34.30%,5.80%,59.90%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Bc5 6.d4 exd4 7.O-O d6 8.cxd4 Bb6
"Italian Game, Evans Gambit, Main Line",,110,C52,2018-06-26,2134,2126,40.90%,25.40%,33.60%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5
"Italian Game, Evans Gambit, Mieses Defense",,165,C52,2018-06-29,2155,2060,48.50%,16.40%,35.10%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 exd4 7.O-O Nge7
"Italian Game, Evans Gambit, Pierce Defense",,217,C52,2018-02-24,2059,2062,33.20%,15.70%,51.10%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 exd4
"Italian Game, Evans Gambit, Stone-Ware Variation",,180,C51,2018-06-02,2232,2255,40.60%,16.70%,42.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Bd6
"Italian Game, Evans Gambit, Tartakower Attack",,257,C52,2018-07-08,2314,2309,36.20%,28.00%,35.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 d6 7.Qb3
"Italian Game, General",,1470,C50,2018-06-17,2135,2061,49.00%,24.50%,26.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4
"Italian Game, Giuoco Pianissimo",,1073,C50,2018-06-29,1912,1914,41.40%,24.60%,34.00%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3
"Italian Game, Giuoco Pianissimo, Canal Variation",,1010,C50,2018-06-16,2139,2142,32.00%,33.00%,35.00%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.Nc3 d6 6.Bg5
"Italian Game, Giuoco Pianissimo, Italian Four Knights Variation",,2306,C50,2018-07-07,1987,1968,33.30%,26.80%,39.90%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.Nc3
"Italian Game, Giuoco Pianissimo, Normal",,3657,C50,2018-07-08,2171,2186,32.40%,30.40%,37.30%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6
"Italian Game, Hungarian Defense",,3117,C50,2018-07-05,1996,2038,28.30%,25.30%,46.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7
"Italian Game, Hungarian Defense, Tartakower Variation",,102,C50,2018-06-29,1936,2010,25.50%,21.60%,52.90%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7 4.d4 exd4 5.c3 Nf6 6.e5 Ne4
"Italian Game, Italian Variation",,4508,C50,2018-07-09,2146,2155,33.30%,29.90%,36.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5
"Italian Game, Schilling-Kostic Gambit",,206,C50,2018-06-11,1645,1684,37.40%,12.10%,50.50%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nd4
"Italian Game, Scotch Gambit, Anderssen Attack",,1547,C56,2018-07-08,2149,2122,25.90%,37.90%,36.20%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Nxe4 6.Re1 d5 7.Bxd5 Qxd5 8.Nc3
"Italian Game, Scotch Gambit, De Riviere Defense",,263,C55,2018-06-25,1951,1990,35.00%,19.80%,45.30%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Be7
"Italian Game, Scotch Gambit, Janowski Defense",,322,C55,2018-06-21,2047,2085,38.20%,23.60%,38.20%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O d6
"Italian Game, Scotch Gambit, Max Lange Attack",,516,C55,2018-06-24,2012,2059,35.30%,16.70%,48.10%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Bc5
"Italian Game, Scotch Gambit, Max Lange Attack, Long Variation",,245,C55,2018-03-24,2132,2140,33.50%,20.40%,46.10%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Bc5 6.e5 d5 7.exf6 dxc4 8.Re1+ Be6 9.Ng5 Qd5 10.Nc3 Qf5 11.Nce4
"Italian Game, Scotch Gambit, Walbrodt-Baird Gambit",,164,C55,2018-06-29,1989,1982,36.60%,28.70%,34.80%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Bc5 6.c3
"Italian Game, Two Knights Defense",,655,C55,2018-06-28,2053,2061,43.40%,20.80%,35.90%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6
"Italian Game, Two Knights Defense, Fried Liver Attack",,254,C57,2018-06-15,1827,1744,77.60%,7.10%,15.30%,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Nxd5 6.Nxf7
